death_date,death_weekday,death_week_ending,age_elderly,deaths,deaths_per_100k,deaths_mean7,deaths_per_100k_mean7
2024-10-05,Saturday,2024-10-06,80+,1,0.5088,0.4286,0.2181
2024-10-04,Friday,2024-10-06,<60,0,0,0,0
2024-10-04,Friday,2024-10-06,60-69,0,0,0,0
2024-10-04,Friday,2024-10-06,70-79,0,0,0,0
2024-10-04,Friday,2024-10-06,80+,0,0,0.4286,0.2181
2024-10-03,Thursday,2024-10-06,<60,0,0,0,0
2024-10-03,Thursday,2024-10-06,60-69,0,0,0,0
2024-10-03,Thursday,2024-10-06,70-79,0,0,0,0
2024-10-03,Thursday,2024-10-06,80+,1,0.5088,0.4286,0.2181
2024-10-02,Wednesday,2024-10-06,<60,0,0,0,0
2024-10-02,Wednesday,2024-10-06,60-69,0,0,0,0
2024-10-02,Wednesday,2024-10-06,70-79,0,0,0,0
2024-10-02,Wednesday,2024-10-06,80+,0,0,0.4286,0.2181
2024-10-01,Tuesday,2024-10-06,<60,0,0,0,0
2024-10-01,Tuesday,2024-10-06,60-69,0,0,0,0
2024-10-01,Tuesday,2024-10-06,70-79,0,0,0,0
2024-10-01,Tuesday,2024-10-06,80+,1,0.5088,0.4286,0.2181
2024-09-30,Monday,2024-10-06,<60,0,0,0,0
2024-09-30,Monday,2024-10-06,60-69,0,0,0,0
2024-09-30,Monday,2024-10-06,70-79,0,0,0,0
2024-09-30,Monday,2024-10-06,80+,0,0,0.2857,0.1454
2024-09-29,Sunday,2024-09-29,<60,0,0,0,0
2024-09-29,Sunday,2024-09-29,60-69,0,0,0,0
2024-09-29,Sunday,2024-09-29,70-79,0,0,0,0
2024-09-29,Sunday,2024-09-29,80+,0,0,0.5714,0.2908
2024-09-28,Saturday,2024-09-29,<60,0,0,0,0
2024-09-28,Saturday,2024-09-29,60-69,0,0,0,0
2024-09-28,Saturday,2024-09-29,70-79,0,0,0,0
2024-09-28,Saturday,2024-09-29,80+,1,0.5088,0.5714,0.2908
2024-09-27,Friday,2024-09-29,<60,0,0,0,0
2024-09-27,Friday,2024-09-29,60-69,0,0,0,0
2024-09-27,Friday,2024-09-29,70-79,0,0,0,0
2024-09-27,Friday,2024-09-29,80+,0,0,0.4286,0.2181
2024-09-26,Thursday,2024-09-29,<60,0,0,0,0
2024-09-26,Thursday,2024-09-29,60-69,0,0,0,0
2024-09-26,Thursday,2024-09-29,70-79,0,0,0,0
