year,sex,rounding,cnt,sim_lab
2013,female,n_rr3_37,14565,rounded
2013,female,n_rr3_38,14520,rounded
2013,female,n_rr3_39,14613,rounded
2013,female,n_rr3_4,14547,rounded
2013,female,n_rr3_40,14460,rounded
2013,female,n_rr3_41,14463,rounded
2013,female,n_rr3_42,14658,rounded
2013,female,n_rr3_43,14601,rounded
2013,female,n_rr3_44,14574,rounded
2013,female,n_rr3_45,14427,rounded
2013,female,n_rr3_46,14655,rounded
2013,female,n_rr3_47,14580,rounded
2013,female,n_rr3_48,14604,rounded
2013,female,n_rr3_49,14655,rounded
2013,female,n_rr3_5,14577,rounded
2013,female,n_rr3_50,14556,rounded
2013,female,n_rr3_51,14604,rounded
2013,female,n_rr3_52,14688,rounded
2013,female,n_rr3_53,14490,rounded
2013,female,n_rr3_54,14628,rounded
2013,female,n_rr3_55,14595,rounded
2013,female,n_rr3_56,14634,rounded
2013,female,n_rr3_57,14562,rounded
2013,female,n_rr3_58,14508,rounded
2013,female,n_rr3_59,14526,rounded
2013,female,n_rr3_6,14541,rounded
2013,female,n_rr3_60,14553,rounded
2013,female,n_rr3_61,14595,rounded
2013,female,n_rr3_62,14532,rounded
2013,female,n_rr3_63,14571,rounded
2013,female,n_rr3_64,14586,rounded
2013,female,n_rr3_65,14592,rounded
2013,female,n_rr3_66,14445,rounded
2013,female,n_rr3_67,14538,rounded
2013,female,n_rr3_68,14538,rounded
2013,female,n_rr3_69,14514,rounded
2013,female,n_rr3_7,14508,rounded
2013,female,n_rr3_70,14562,rounded
2013,female,n_rr3_71,14541,rounded
2013,female,n_rr3_72,14583,rounded
2013,female,n_rr3_73,14541,rounded
2013,female,n_rr3_74,14499,rounded
2013,female,n_rr3_75,14535,rounded
2013,female,n_rr3_76,14508,rounded
2013,female,n_rr3_77,14628,rounded
2013,female,n_rr3_78,14616,rounded
2013,female,n_rr3_79,14598,rounded
2013,female,n_rr3_8,14535,rounded
2013,female,n_rr3_80,14535,rounded
2013,female,n_rr3_81,14574,rounded
2013,female,n_rr3_82,14640,rounded
2013,female,n_rr3_83,14541,rounded
2013,female,n_rr3_84,14541,rounded
2013,female,n_rr3_85,14583,rounded
2013,female,n_rr3_86,14625,rounded
2013,female,n_rr3_87,14526,rounded
2013,female,n_rr3_88,14532,rounded
2013,female,n_rr3_89,14541,rounded
2013,female,n_rr3_9,14523,rounded
2013,female,n_rr3_90,14559,rounded
